#	井
🛸	碟
🛹	滑
🛺	蹦
🟠	橙
🟡	黄
🟢	绿
🟣	紫
🟤	棕
🟥	红
🟦	蓝
🟧	橙
🟨	黄
🟩	绿
🟪	紫
🟫	棕
🤌	捏
🤍	心
🤎	心
🤏	捏
🤐	闭
🤑	贪
🤒	病
🤓	呆
🤔	想
🤕	伤
🤖	机
🤗	抱
🤘	摇
🤙	6
🤚	手
🤛	拳
🤜	拳
🤝	握
🤞	心
🤟	爱
🤠	牛
🤡	丑
🤢	恶
🤣	笑
🤤	馋
🤥	谎
🤦	捂
🤧	涕
🤨	疑
🤩	星
🤪	怪
🤫	嘘
🤬	骂
🤭	捂
🤮	呕
🤯	疯
🤰	孕
🤱	哺
🤲	祷
🤳	拍
🤴	王
🤵	俊
🤶	诞
🤷	耸
🤸	翻
🤹	耍
🤺	击
🤼	摔
🤽	水
🤾	扔
🤿	潜
🥀	枯
🥁	鼓
🥂	干
🥃	杯
🥄	勺
🥅	门
🥇	金
🥈	银
🥉	铜
🥊	拳
🥋	武
🥌	壶
🥍	棍
🥎	垒
🥏	盘
🥐	包
🥑	果
🥒	瓜
🥓	培
🥔	土
🥕	萝
🥖	包
🥗	菜
🥘	锅
🥙	饼
🥚	蛋
🥛	奶
🥜	花
🥝	猕
🥞	饼
🥟	饺
🥠	饼
🥡	盒
🥢	筷
🥣	碗
🥤	杯
🥥	椰
🥦	菜
🥧	派
🥨	饼
🥩	肉
🥫	罐
🥬	菜
🥭	芒
🥮	饼
🥯	圈
🥰	爱
🥱	困
🥳	聚
🥴	昏
🥵	热
🥶	冷
🥺	求
🥻	纱
🥼	褂
🥽	镜
🥾	靴
🥿	鞋
🦀	蟹
🦁	狮
🦂	蝎
🦄	独
🦅	鹰
🦆	鸭
🦈	鲨
🦉	鹰
🦊	狐
🦋	蝶
🦌	鹿
🦍	猩
🦎	蜥
🦏	犀
🦐	虾
🦑	魷
🦒	鹿
🦓	斑
🦔	猬
🦕	龙
🦖	龙
🦗	蟀
🦘	袋
🦙	鸵
🦚	雀
🦜	鹦
🦝	浣
🦞	虾
🦟	蚊
🦠	菌
🦡	獾
🦢	鹅
🦥	懒
🦦	獭
🦧	狒
🦨	鼬
🦩	鹤
🦪	蚝
🦮	狗
🦯	杖
🦲	秃
🦴	骨
🦵	腿
🦶	脚
🦷	牙
🦸	超
🦹	反
🦺	背
🦻	耳
🦼	椅
🦽	椅
🦾	臂
🦿	腿
🧀	酪
🧁	糕
🧂	盐
🧃	饮
🧄	蒜
🧅	葱
🧆	丸
🧇	饼
🧈	油
🧉	茶
🧊	冰
🧍	站
🧎	跪
🧏	聋
🧐	镜
🧑	大
🧒	孩
🧓	老
🧔	须
🧕	巾
🧖	蒸
🧗	攀
🧘	坐
🧙	巫
🧚	仙
🧛	鬼
🧜	鱼
🧝	精
🧞	神
🧟	僵
🧠	脑
🧡	心
🧢	帽
🧣	巾
🧤	套
🧥	衣
🧦	袜
🧧	福
🧨	爆
🧩	拼
🧪	管
🧫	皿
🧬	基
🧭	导
🧮	算
🧯	灭
🧰	箱
🧱	砖
🧲	磁
🧳	箱
🧴	乳
🧵	线
🧶	线
🧷	针
🧸	熊
🧹	扫
🧺	筐
🧻	纸
🧼	皂
🧽	绵
🧾	票
🧿	符
🩠	帅
🩤	車
🩧	将
🩭	卒
🩰	鞋
🩱	泳
🩲	裤
🩳	裤
🩸	血
🩹	绷
🩺	诊
🪀	悠
🪁	筝
🪂	伞
🪅	坯
🪆	套
🪑	椅
🪒	刀
🪓	斧
🪔	灯
🪕	琴
🪙	币
🪚	锯
🪜	梯
🪝	钩
🪟	帘
🪠	塞
🪢	结
🪤	捕
🪥	刷
🪦	墓
🪨	石
🪰	蝇
🪱	蚯
🪲	虫
🪳	蟑
🪵	木
🪶	羽
🫁	肺
🫂	抱
🫒	橄
🫔	粽
🫖	壶
