蓮	莲
聯	联
褳	裢
鰱	鲢
鐮	镰
斂	敛
璉	琏
臉	脸
襝	裣
蘞	蔹
練	练
孌	娈
煉	炼
戀	恋
殮	殓
鏈	链
瀲	潋
涼	凉
糧	粮
兩	两
魎	魉
諒	谅
輛	辆
遼	辽
療	疗
繚	缭
鐐	镣
鷯	鹩
釕	钌
獵	猎
鄰	邻
臨	临
轔	辚
鱗	鳞
凜	凛
廩	廪
懍	懔
檁	檩
賃	赁
藺	蔺
躪	躏
靈	灵
嶺	岭
淩	凌
鈴	铃
欞	棂
綾	绫
齡	龄
鯪	鲮
領	领
劉	刘
瀏	浏
餾	馏
騮	骝
鎦	镏
綹	绺
鋶	锍
鷚	鹨
龍	龙
嚨	咙
瀧	泷
蘢	茏
櫳	栊
瓏	珑
朧	胧
礱	砻
籠	笼
聾	聋
隴	陇
壟	垄
壠	垄
攏	拢
婁	娄
僂	偻
嘍	喽
蔞	蒌
樓	楼
耬	耧
螻	蝼
髏	髅
嶁	嵝
摟	搂
簍	篓
瘺	瘘
瘻	瘘
鏤	镂
嚕	噜
擼	撸
盧	卢
廬	庐
蘆	芦
壚	垆
瀘	泸
爐	炉
鑪	炉
櫨	栌
臚	胪
轤	轳
鸕	鸬
艫	舻
顱	颅
鱸	鲈
鹵	卤
虜	虏
擄	掳
魯	鲁
櫓	橹
鑥	镥
陸	陆
錄	录
賂	赂
輅	辂
淥	渌
祿	禄
濾	滤
轆	辘
鷺	鹭
氌	氇
驢	驴
閭	闾
櫚	榈
呂	吕
侶	侣
穭	稆
鋁	铝
屢	屡
縷	缕
褸	褛
慮	虑
綠	绿
孿	孪
巒	峦
攣	挛
欒	栾
鸞	鸾
臠	脔
灤	滦
鑾	銮
亂	乱
鋝	锊
掄	抡
侖	仑
倫	伦
圇	囵
淪	沦
綸	纶
輪	轮
論	论
羅	罗
儸	罗
玀	猡
腡	脶
蘿	萝
邏	逻
欏	椤
鑼	锣
籮	箩
騾	骡
鏍	镙
濼	泺
絡	络
犖	荦
駱	骆
媽	妈
嬤	嬷
馬	马
獁	犸
瑪	玛
碼	码
螞	蚂
榪	杩
罵	骂
駡	骂
嘜	唛
嗎	吗
買	买
蕒	荬
勱	劢
邁	迈
麥	麦
賣	卖
脈	脉
顢	颟
蠻	蛮
饅	馒
瞞	瞒
鰻	鳗
滿	满
蟎	螨
謾	谩
縵	缦
鏝	镘
貓	猫
氂	牦
錨	锚
鉚	铆
貿	贸
戼	帽
麼	么
沒	没
鎇	镅
鶥	鹛
鎂	镁
門	门
捫	扪
鍆	钔
悶	闷
燜	焖
懣	懑
們	们
懞	蒙
錳	锰
夢	梦
彌	弥
禰	祢
獼	猕
謎	谜
羋	芈
瞇	眯
覓	觅
冪	幂
謐	谧
綿	绵
黽	黾
緬	缅
靦	腼
麵	面
鶓	鹋
緲	缈
廟	庙
滅	灭
緍	缗
緡	缗
閔	闵
閩	闽
憫	悯
湣	愍
鰵	鳘
鳴	鸣
銘	铭
謬	谬
繆	缪
謨	谟
饃	馍
糢	模
歿	殁
驀	蓦
鏌	镆
謀	谋
畝	亩
鉬	钼
鎿	镎
內	内
納	纳
鈉	钠
難	难
饢	馕
撓	挠
鐃	铙
蟯	蛲
堖	垴
惱	恼
腦	脑
鬧	闹
訥	讷
餒	馁
鈮	铌
鯢	鲵
擬	拟
膩	腻
鮎	鲇
鯰	鲶
輦	辇
攆	撵
釀	酿
鳥	鸟
蔦	茑
裊	袅
隉	陧
聶	聂
嚙	啮
齧	啮
囁	嗫
鑷	镊
鎳	镍
顳	颞
躡	蹑
寧	宁
嚀	咛
擰	拧
獰	狞
檸	柠
聹	聍
濘	泞
紐	纽
鈕	钮
農	农
儂	侬
噥	哝
濃	浓
膿	脓
衖	弄
駑	驽
釹	钕
瘧	疟
儺	傩
諾	诺
鍩	锘
謳	讴
歐	欧
毆	殴
甌	瓯
鷗	鸥
嘔	呕
慪	怄
漚	沤
盤	盘
蹣	蹒
龐	庞
鉋	刨
皰	疱
賠	赔
錇	锫
珮	佩
轡	辔
噴	喷
鵬	鹏
紕	纰
鈹	铍
羆	罴
駢	骈
諞	谝
騙	骗
縹	缥
飄	飘
貧	贫
嬪	嫔
頻	频
顰	颦
評	评
憑	凭
蘋	苹
鮃	鲆
釙	钋
潑	泼
頗	颇
鉕	钷
僕	仆
撲	扑
鋪	铺
鏷	镤
樸	朴
譜	谱
鐠	镨
淒	凄
棲	栖
榿	桤
齊	齐
臍	脐
頎	颀
騏	骐
騎	骑
蠐	蛴
蘄	蕲
鰭	鳍
豈	岂
啓	启
啟	启
綺	绮
氣	气
訖	讫
棄	弃
薺	荠
磧	碛
遷	迁
僉	佥
釺	钎
牽	牵
慳	悭
鉛	铅
謙	谦
簽	签
騫	骞
蕁	荨
鈐	钤
錢	钱
鉗	钳
乹	乾
潛	潜
淺	浅
譴	谴
繾	缱
塹	堑
槧	椠
嗆	呛
羗	羌
戧	戗
槍	枪
蹌	跄
錆	锖
鏘	锵
鏹	镪
強	强
墻	墙
牆	墙
嬙	嫱
薔	蔷
檣	樯
搶	抢
羥	羟
繈	襁
熗	炝
磽	硗
蹺	跷
鍬	锹
繰	缲
喬	乔
僑	侨
蕎	荞
橋	桥
譙	谯
癄	憔
鞽	鞒
誚	诮
竅	窍
翹	翘
竊	窃
愜	惬
篋	箧
鍥	锲
親	亲
欽	钦
鋟	锓
寢	寝
唚	吣
撳	揿
氫	氢
輕	轻
傾	倾
鯖	鲭
頃	顷
請	请
慶	庆
窮	穷
煢	茕
瓊	琼
鰌	鳅
鰍	鳅
虯	虬
賕	赇
巰	巯
區	区
嶇	岖
詘	诎
驅	驱
軀	躯
趨	趋
鴝	鸲
臒	癯
齲	龋
闃	阒
覷	觑
權	权
詮	诠
輇	辁
銓	铨
顴	颧
綣	绻
勸	劝
卻	却
愨	悫
慤	悫
確	确
闋	阕
闕	阙
鵲	鹊
讓	让
蕘	荛
饒	饶
橈	桡
擾	扰
嬈	娆
繞	绕
熱	热
認	认
紉	纫
軔	轫
韌	韧
飪	饪
絨	绒
榮	荣
嶸	嵘
蠑	蝾
銣	铷
顬	颥
縟	缛
軟	软
銳	锐
閏	闰
潤	润
灑	洒
颯	飒
薩	萨
鰓	鳃
賽	赛
毿	毵
傘	伞
糝	糁
