柹	柿
溼	湿
夀	寿
倐	倏
潄	漱
藷	薯
疎	疏
朮	术
庻	庶
儵	倏
⺢	水
㊌	水
㈬	水
㆕	四
飤	饲
禩	祀
竢	俟
佀	似
泝	溯
甦	苏
㝛	宿
遡	溯
囌	苏
蘓	苏
痠	酸
祘	算
繐	穗
𡻕	岁
飱	飧
簑	蓑
挱	挲
鎻	锁
𤨏	琐
牠	它
墖	塔
擡	抬
墰	坛
襢	袒
壜	坛
醣	糖
蹚	趟
钂	镋
餹	糖
搯	掏
縚	绦
綯	绹
鞉	鼗
㊕	特
㈵	特
籐	藤
躰	体
嗁	啼
蹏	蹄
鬀	剃
㆝	天
覜	眺
銕	铁
鉄	铁
厛	厅
聼	听
筩	筒
峝	峒
媮	偷
偸	偷
㊏	土
㈯	土
兎	兔
糰	团
骽	腿
穨	颓
臋	臀
搨	拓
拕	拖
韤	袜
鼃	蛙
韈	袜
盌	碗
椀	碗
㼝	碗
翫	玩
亾	亡
朢	望
㒺	罔
徃	往
餧	喂
衞	卫
餵	喂
脗	吻
蟁	蚊
㉄	问
螡	蚊
㉆	文
甕	瓮
罋	瓮
臥	卧
汙	污
娬	妩
啎	忤
汚	污
隖	坞
潟	舄
𤋮	熙
厀	膝
𤋮	熙
譆	嘻
晳	晰
蓆	席
谿	溪
⼣	夕
熈	熙
タ	夕
陿	狭
㊦	下
㆘	下
鎋	辖
羨	羡
尠	鲜
閒	闲
啣	衔
鷼	鹇
嫺	娴
尟	鲜
醯	酰
絃	弦
僊	仙
啣	衔
㊠	项
嚮	向
鄕	乡
亯	享
歗	啸
効	效
篠	筱
斆	敩
嚻	嚣
傚	效
㊢	写
㈿	协
㊯	协
㩦	携
脇	胁
緤	绁
洩	泄
㩗	携
鞵	鞋
擕	携
蠍	蝎
蠏	蟹
衺	邪
倖	幸
胷	胸
兇	凶
鏽	锈
繡	绣
脩	修
㊡	休
㉁	休
壻	婿
賉	恤
卹	恤
籲	吁
勗	勖
䘏	恤
敍	叙
璿	璇
萲	萱
諠	喧
蕿	萱
蘐	萱
楥	楦
藼	萱
㈻	学
鞾	靴
㊫	学
嶨	峃
狥	徇
樳	桪
廵	巡
勳	勋
燻	熏
壎	埙
枒	丫
亜	亚
嚥	咽
騐	验
醼	宴
喦	岩
簷	檐
豓	艳
鴈	雁
燄	焰
巖	岩
臙	胭
姸	妍
鷰	燕
菸	烟
懕	恹
巗	岩
硏	研
詽	訮
敭	扬
齩	咬
殀	夭
窰	窑
埜	野
亱	夜
爗	烨
㊰	夜
壄	野
彜	彝
㕥	以
讛	呓
瞖	翳
㆚	乙
迻	移
㠯	以
螘	蚁
毉	医
迆	迤
㊩	医
吚	咿
㆒	一
㠯	以
廕	荫
陻	堙
㱃	饮
隂	阴
瘖	喑
㊞	印
滛	淫
慇	殷
婣	姻
囙	因
